informed_frac,mode,qid,seed,accuracy,manip_drift
0.7,governed,count_k,1,0.9949970703125,0.008338216145833409
0.7,governed,count_k,2,0.9941708984375,-0.009715169270833416
0.7,unconstrained,dist_km,0,0.9912953488372093,-0.010880813953488357
0.7,unconstrained,dist_km,1,0.9888372093023255,-0.013953488372093056
0.7,unconstrained,dist_km,2,0.9882290697674418,0.014713662790697744
0.7,unconstrained,year_gap,0,0.9212126436781609,0.17508301404853133
0.7,unconstrained,year_gap,1,0.9250402298850574,0.1665772669220946
0.7,unconstrained,year_gap,2,0.9923678160919541,0.01696040868454629
0.7,unconstrained,pct_share,0,0.9809166666666668,0.01734848484848479
0.7,unconstrained,pct_share,1,0.9859305555555555,0.012790404040404109
0.7,unconstrained,pct_share,2,0.985111111111111,0.013535353535353572
0.7,unconstrained,count_k,0,0.9928564453125,0.011905924479166753
0.7,unconstrained,count_k,1,0.9855234374999999,0.024127604166666775
0.7,unconstrained,count_k,2,0.9884111328124998,0.019314778645833638
