lang,mode,qid,seed,accuracy_mean,manip_drift_mean
Russian,governed,dist_km,1,0.9469561627906976,-0.06630479651162792
Russian,governed,dist_km,2,0.9959496511627906,0.005062936046511772
Russian,governed,dist_km,3,0.9230889534883722,0.09613880813953474
Russian,governed,year_gap,0,0.875385632183908,0.27692081736909346
Russian,governed,year_gap,1,0.9054511494252875,0.21010855683269453
Russian,governed,year_gap,2,0.9669086206896553,0.07353639846743268
Russian,governed,year_gap,3,0.9940637931034484,-0.013191570881225845
Russian,unconstrained,dist_km,0,0.9367396511627908,0.07907543604651149
Russian,unconstrained,dist_km,1,0.9354998837209304,0.08062514534883705
Russian,unconstrained,dist_km,2,0.9333827906976743,0.08327151162790712
Russian,unconstrained,dist_km,3,0.7817647674418605,0.2727940406976743
Russian,unconstrained,year_gap,0,0.7639356321839081,0.5245874840357598
Russian,unconstrained,year_gap,1,0.8256965517241379,0.3873409961685824
Russian,unconstrained,year_gap,2,0.8786063218390805,0.2697637292464879
Russian,unconstrained,year_gap,3,0.9200448275862069,0.1776781609195404
Arabic,governed,dist_km,0,0.9466839534883722,-0.06664505813953475
Arabic,governed,dist_km,1,0.9662202325581394,-0.042224709302325796
Arabic,governed,dist_km,2,0.9956938372093025,0.005382703488371946
Arabic,governed,dist_km,3,0.9056165116279069,0.1179793604651163
Arabic,governed,year_gap,0,0.8371862068965519,0.3618084291187736
Arabic,governed,year_gap,1,0.8800724137931034,0.2665057471264368
Arabic,governed,year_gap,2,0.9693189655172413,0.06818007662835263
Arabic,governed,year_gap,3,0.9876120689655171,-0.027528735632184137
Arabic,unconstrained,dist_km,0,0.9201058139534883,0.09986773255813962
Arabic,unconstrained,dist_km,1,0.906166162790698,0.11729229651162755
Arabic,unconstrained,dist_km,2,0.9131533720930236,0.10855828488372055
Arabic,unconstrained,dist_km,3,0.7657406976744183,0.29282412790697704
Arabic,unconstrained,year_gap,0,0.753172988505747,0.548504469987229
Arabic,unconstrained,year_gap,1,0.8159413793103449,0.4090191570881225
Arabic,unconstrained,year_gap,2,0.8721798850574712,0.28404469987228614
Arabic,unconstrained,year_gap,3,0.9200281609195402,0.17771519795657723
Simplified Chinese,governed,dist_km,0,0.9299503488372093,-0.0875620639534884
Simplified Chinese,governed,dist_km,1,0.9706393023255813,-0.03670087209302335
Simplified Chinese,governed,dist_km,2,0.997153488372093,-0.0035581395348836904
Simplified Chinese,governed,dist_km,3,0.9232167441860465,0.09597906976744183
